,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
RB,148,Jordan,Mims,NO,1,0,,,,,0,0,0,2,0,0,0,,,,,,,,,,
RB,149,Jonathan,Williams,WAS,1,-0.2,,,,,-2,0,1,1,0,0,0,,,,,,,,,,
WR,0,CeeDee,Lamb,DAL,17,405.2,,,,,113,2,14,181,1749,12,135,,,,,,,,,,
WR,1,Tyreek,Hill,MIA,16,378.4,,,,,15,0,6,171,1799,13,119,,,,,,,,,,
WR,2,Amon-Ra,St.,DET,16,332.9,,,,,24,0,4,164,1515,10,119,,,,,,,,,,
WR,3,Puka,Nacua,LAR,17,298.5,,,,,89,0,12,160,1486,6,105,,,,,,,,,,
WR,4,A.J.,Brown,PHI,17,293.6,,,,,0,0,0,158,1456,7,106,,,,,,,,,,
WR,5,D.J.,Moore,CHI,17,288.5,,,,,21,1,4,136,1364,8,96,,,,,,,,,,
WR,6,Mike,Evans,TB,17,282.5,,,,,0,0,0,136,1255,13,79,,,,,,,,,,
WR,7,Keenan,Allen,LAC,13,274.9,,,,,6,0,2,150,1243,7,108,,,,,,,,,,
WR,8,Stefon,Diggs,BUF,17,273.8,,,,,5,0,1,160,1183,8,107,,,,,,,,,,
WR,9,Davante,Adams,LV,17,265.4,,,,,0,0,0,175,1144,8,103,,,,,,,,,,
WR,10,JaMarr,Chase,CIN,16,263,,,,,-6,0,3,145,1216,7,100,,,,,,,,,,
WR,11,Nico,Collins,HOU,15,258.4,,,,,7,0,1,109,1297,8,80,,,,,,,,,,
WR,12,Brandon,Aiyuk,SF,16,251.2,,,,,0,0,0,105,1342,7,75,,,,,,,,,,
WR,13,Michael,Pittman,IND,16,248.2,,,,,0,0,0,156,1152,4,109,,,,,,,,,,
WR,14,Deebo,Samuel,SF,15,243.7,,,,,225,5,37,89,892,7,60,,,,,,,,,,
WR,15,DeVonta,Smith,PHI,16,229.6,,,,,0,0,0,112,1066,7,81,,,,,,,,,,
